arm,draw,pair_id,i,j,order,patient,chosen,picked_i
cf_a1,0,14,2411,1014,1,2,2411,1
cf_a0,0,14,2411,1014,0,2,1014,0
cf_a0,0,14,2411,1014,1,1,1014,0
cf_a1,0,15,2201,4105,0,1,2201,1
cf_a1,0,15,2201,4105,1,2,2201,1
cf_a0,0,15,2201,4105,0,1,2201,1
cf_a0,0,15,2201,4105,1,1,4105,0
cf_a1,0,16,2963,4093,0,1,2963,1
cf_a1,0,16,2963,4093,1,2,2963,1
cf_a0,0,16,2963,4093,0,2,4093,0
cf_a0,0,16,2963,4093,1,2,2963,1
cf_a1,0,17,2813,901,0,1,2813,1
cf_a1,0,17,2813,901,1,2,2813,1
cf_a0,0,17,2813,901,0,1,2813,1
cf_a0,0,17,2813,901,1,1,901,0
cf_a1,0,18,4952,2177,0,1,4952,1
cf_a1,0,18,4952,2177,1,1,2177,0
cf_a0,0,18,4952,2177,0,2,2177,0
cf_a0,0,18,4952,2177,1,1,2177,0
cf_a1,0,19,2787,665,0,1,2787,1
cf_a1,0,19,2787,665,1,2,2787,1
cf_a0,0,19,2787,665,0,1,2787,1
cf_a0,0,19,2787,665,1,2,2787,1
cf_a1,0,20,447,546,0,1,447,1
cf_a1,0,20,447,546,1,2,447,1
cf_a0,0,20,447,546,0,1,447,1
cf_a0,0,20,447,546,1,2,447,1
cf_a1,0,21,3257,3479,0,1,3257,1
cf_a1,0,21,3257,3479,1,2,3257,1
cf_a0,0,21,3257,3479,0,1,3257,1
cf_a0,0,21,3257,3479,1,2,3257,1
cf_a1,0,22,1563,3293,0,1,1563,1
cf_a1,0,22,1563,3293,1,2,1563,1
cf_a0,0,22,1563,3293,0,1,1563,1
cf_a0,0,22,1563,3293,1,1,3293,0
cf_a1,0,23,3636,1253,0,1,3636,1
cf_a1,0,23,3636,1253,1,2,3636,1
cf_a0,0,23,3636,1253,0,1,3636,1
cf_a0,0,23,3636,1253,1,1,1253,0
cf_a1,0,24,1533,3021,0,1,1533,1
cf_a1,0,24,1533,3021,1,1,3021,0
cf_a0,0,24,1533,3021,0,1,1533,1
cf_a0,0,24,1533,3021,1,1,3021,0
cf_a1,0,25,1016,667,0,1,1016,1
cf_a1,0,25,1016,667,1,2,1016,1
cf_a0,0,25,1016,667,0,2,667,0
cf_a0,0,25,1016,667,1,1,667,0
cf_a1,0,26,2900,2655,0,1,2900,1
cf_a1,0,26,2900,2655,1,2,2900,1
cf_a0,0,26,2900,2655,0,2,2655,0
cf_a0,0,26,2900,2655,1,1,2655,0
cf_a1,0,27,4274,3353,0,1,4274,1
cf_a1,0,27,4274,3353,1,1,3353,0
cf_a0,0,27,4274,3353,0,2,3353,0
cf_a0,0,27,4274,3353,1,1,3353,0
cf_a1,0,28,928,1390,0,1,928,1
cf_a1,0,28,928,1390,1,2,928,1
cf_a0,0,28,928,1390,0,1,928,1
cf_a0,0,28,928,1390,1,2,928,1
cf_a1,0,29,1179,1235,0,1,1179,1
cf_a1,0,29,1179,1235,1,2,1179,1
cf_a0,0,29,1179,1235,0,1,1179,1
cf_a0,0,29,1179,1235,1,2,1179,1
cf_a1,0,30,587,16,0,1,587,1
cf_a1,0,30,587,16,1,2,587,1
cf_a0,0,30,587,16,0,1,587,1
cf_a0,0,30,587,16,1,2,587,1
cf_a1,0,31,2557,2233,0,1,2557,1
cf_a1,0,31,2557,2233,1,2,2557,1
cf_a0,0,31,2557,2233,0,1,2557,1
cf_a0,0,31,2557,2233,1,1,2233,0
cf_a1,0,32,2508,1807,0,1,2508,1
cf_a1,0,32,2508,1807,1,2,2508,1
cf_a0,0,32,2508,1807,0,1,2508,1
cf_a0,0,32,2508,1807,1,2,2508,1
cf_a1,0,33,2525,3767,0,1,2525,1
cf_a1,0,33,2525,3767,1,2,2525,1
cf_a0,0,33,2525,3767,0,1,2525,1
cf_a0,0,33,2525,3767,1,2,2525,1
cf_a1,0,34,1297,1350,0,1,1297,1
cf_a1,0,34,1297,1350,1,2,1297,1
cf_a0,0,34,1297,1350,0,1,1297,1
cf_a0,0,34,1297,1350,1,2,1297,1
cf_a1,0,35,1677,1221,0,1,1677,1
cf_a1,0,35,1677,1221,1,1,1221,0
cf_a0,0,35,1677,1221,0,1,1677,1
cf_a0,0,35,1677,1221,1,1,1221,0
cf_a1,0,36,2277,728,0,1,2277,1
cf_a1,0,36,2277,728,1,1,728,0
cf_a0,0,36,2277,728,0,1,2277,1
cf_a0,0,36,2277,728,1,1,728,0
cf_a1,0,37,377,4251,0,1,377,1
cf_a1,0,37,377,4251,1,2,377,1
cf_a0,0,37,377,4251,0,1,377,1
cf_a0,0,37,377,4251,1,2,377,1
cf_a1,0,38,3283,4769,0,2,4769,0
cf_a1,0,38,3283,4769,1,1,4769,0
cf_a0,0,38,3283,4769,0,2,4769,0
cf_a0,0,38,3283,4769,1,1,4769,0
cf_a1,0,39,3110,4548,0,1,3110,1
cf_a1,0,39,3110,4548,1,2,3110,1
cf_a0,0,39,3110,4548,0,2,4548,0
cf_a0,0,39,3110,4548,1,1,4548,0
cf_a1,0,40,1857,2002,0,2,2002,0
cf_a1,0,40,1857,2002,1,1,2002,0
cf_a0,0,40,1857,2002,0,2,2002,0
cf_a0,0,40,1857,2002,1,1,2002,0
cf_a1,0,41,3727,4460,0,1,3727,1
cf_a1,0,41,3727,4460,1,2,3727,1
cf_a0,0,41,3727,4460,0,1,3727,1
cf_a0,0,41,3727,4460,1,2,3727,1
cf_a1,0,42,1166,1558,0,1,1166,1
cf_a1,0,42,1166,1558,1,2,1166,1
cf_a0,0,42,1166,1558,0,2,1558,0
cf_a0,0,42,1166,1558,1,1,1558,0
cf_a1,0,43,2417,1315,0,1,2417,1
cf_a1,0,43,2417,1315,1,1,1315,0
cf_a0,0,43,2417,1315,0,2,1315,0
cf_a0,0,43,2417,1315,1,1,1315,0
cf_a1,0,44,503,4557,0,1,503,1
cf_a1,0,44,503,4557,1,2,503,1
cf_a0,0,44,503,4557,0,1,503,1
cf_a0,0,44,503,4557,1,2,503,1
cf_a1,0,45,4526,2301,0,1,4526,1
cf_a1,0,45,4526,2301,1,2,4526,1
cf_a0,0,45,4526,2301,0,2,2301,0
cf_a0,0,45,4526,2301,1,1,2301,0
cf_a1,0,46,4639,4225,0,1,4639,1
cf_a1,0,46,4639,4225,1,2,4639,1
cf_a0,0,46,4639,4225,0,2,4225,0
cf_a0,0,46,4639,4225,1,2,4639,1
cf_a1,0,47,3573,1027,0,1,3573,1
cf_a1,0,47,3573,1027,1,1,1027,0
cf_a0,0,47,3573,1027,0,2,1027,0
cf_a0,0,47,3573,1027,1,1,1027,0
cf_a1,0,48,3157,1587,0,1,3157,1
cf_a1,0,48,3157,1587,1,2,3157,1
cf_a0,0,48,3157,1587,0,1,3157,1
cf_a0,0,48,3157,1587,1,2,3157,1
cf_a1,0,49,2533,1569,0,1,2533,1
cf_a1,0,49,2533,1569,1,1,1569,0
cf_a0,0,49,2533,1569,0,2,1569,0
cf_a0,0,49,2533,1569,1,1,1569,0
cf_a1,0,50,2526,2945,0,1,2526,1
cf_a1,0,50,2526,2945,1,2,2526,1
cf_a0,0,50,2526,2945,0,1,2526,1
cf_a0,0,50,2526,2945,1,2,2526,1
cf_a1,0,51,1668,2143,0,1,1668,1
cf_a1,0,51,1668,2143,1,2,1668,1
cf_a0,0,51,1668,2143,0,1,1668,1
cf_a0,0,51,1668,2143,1,2,1668,1
cf_a1,0,52,1413,3410,0,1,1413,1
cf_a1,0,52,1413,3410,1,1,3410,0
cf_a0,0,52,1413,3410,0,2,3410,0
cf_a0,0,52,1413,3410,1,1,3410,0
cf_a1,0,53,105,2701,0,2,2701,0
cf_a1,0,53,105,2701,1,1,2701,0
cf_a0,0,53,105,2701,0,2,2701,0
cf_a0,0,53,105,2701,1,1,2701,0
cf_a1,0,54,854,1720,0,,,
cf_a1,0,54,854,1720,1,2,854,1
cf_a0,0,54,854,1720,0,1,854,1
cf_a0,0,54,854,1720,1,,,
cf_a1,0,55,1067,880,0,2,880,0
cf_a1,0,55,1067,880,1,1,880,0
cf_a0,0,55,1067,880,0,2,880,0
cf_a0,0,55,1067,880,1,1,880,0
cf_a1,0,56,4576,357,0,1,4576,1
cf_a1,0,56,4576,357,1,2,4576,1
cf_a0,0,56,4576,357,0,1,4576,1
cf_a0,0,56,4576,357,1,1,357,0
cf_a1,0,57,1408,3853,0,1,1408,1
cf_a1,0,57,1408,3853,1,2,1408,1
cf_a0,0,57,1408,3853,0,2,3853,0
cf_a0,0,57,1408,3853,1,1,3853,0
cf_a1,0,58,1449,1973,0,1,1449,1
cf_a1,0,58,1449,1973,1,2,1449,1
cf_a0,0,58,1449,1973,0,1,1449,1
cf_a0,0,58,1449,1973,1,1,1973,0
cf_a1,0,59,781,2920,0,1,781,1
cf_a1,0,59,781,2920,1,2,781,1
cf_a0,0,59,781,2920,0,1,781,1
cf_a0,0,59,781,2920,1,1,2920,0
cf_a1,0,60,4949,4466,0,1,4949,1
cf_a1,0,60,4949,4466,1,2,4949,1
cf_a0,0,60,4949,4466,0,1,4949,1
cf_a0,0,60,4949,4466,1,1,4466,0
cf_a1,0,61,3784,4031,0,1,3784,1
cf_a1,0,61,3784,4031,1,2,3784,1
cf_a0,0,61,3784,4031,0,2,4031,0
cf_a0,0,61,3784,4031,1,1,4031,0
cf_a1,0,62,3691,873,0,1,3691,1
cf_a1,0,62,3691,873,1,2,3691,1
cf_a0,0,62,3691,873,0,1,3691,1
cf_a0,0,62,3691,873,1,1,873,0
cf_a1,0,63,4747,3768,0,1,4747,1
cf_a1,0,63,4747,3768,1,2,4747,1
cf_a0,0,63,4747,3768,0,1,4747,1
cf_a0,0,63,4747,3768,1,1,3768,0
cf_a1,0,64,765,2546,0,1,765,1
cf_a1,0,64,765,2546,1,2,765,1
cf_a0,0,64,765,2546,0,1,765,1
cf_a0,0,64,765,2546,1,1,2546,0
cf_a1,0,65,4161,4978,0,1,4161,1
cf_a1,0,65,4161,4978,1,1,4978,0
cf_a0,0,65,4161,4978,0,1,4161,1
cf_a0,0,65,4161,4978,1,1,4978,0
cf_a1,0,66,1050,696,0,1,1050,1
cf_a1,0,66,1050,696,1,2,1050,1
cf_a0,0,66,1050,696,0,1,1050,1
cf_a0,0,66,1050,696,1,2,1050,1
cf_a1,0,67,2251,3333,0,1,2251,1
cf_a1,0,67,2251,3333,1,2,2251,1
cf_a0,0,67,2251,3333,0,1,2251,1
cf_a0,0,67,2251,3333,1,1,3333,0
cf_a1,0,68,3405,3655,0,1,3405,1
cf_a1,0,68,3405,3655,1,2,3405,1
cf_a0,0,68,3405,3655,0,2,3655,0
cf_a0,0,68,3405,3655,1,1,3655,0
cf_a1,0,69,148,3232,0,1,148,1
cf_a1,0,69,148,3232,1,1,3232,0
cf_a0,0,69,148,3232,0,1,148,1
cf_a0,0,69,148,3232,1,1,3232,0
cf_a1,0,70,368,605,0,1,368,1
cf_a1,0,70,368,605,1,2,368,1
cf_a0,0,70,368,605,0,1,368,1
cf_a0,0,70,368,605,1,2,368,1
cf_a1,0,71,1036,314,0,1,1036,1
cf_a1,0,71,1036,314,1,2,1036,1
cf_a0,0,71,1036,314,0,1,1036,1
cf_a0,0,71,1036,314,1,2,1036,1
cf_a1,0,72,1509,1354,0,1,1509,1
cf_a1,0,72,1509,1354,1,2,1509,1
cf_a0,0,72,1509,1354,0,1,1509,1
cf_a0,0,72,1509,1354,1,2,1509,1
cf_a1,0,73,923,1969,0,1,923,1
cf_a1,0,73,923,1969,1,1,1969,0
cf_a0,0,73,923,1969,0,2,1969,0
cf_a0,0,73,923,1969,1,1,1969,0
cf_a1,0,74,4617,737,0,1,4617,1
cf_a1,0,74,4617,737,1,1,737,0
cf_a0,0,74,4617,737,0,2,737,0
cf_a0,0,74,4617,737,1,1,737,0
cf_a1,0,75,695,1446,0,1,695,1
cf_a1,0,75,695,1446,1,2,695,1
cf_a0,0,75,695,1446,0,1,695,1
cf_a0,0,75,695,1446,1,2,695,1
cf_a1,0,76,3801,4236,0,1,3801,1
cf_a1,0,76,3801,4236,1,2,3801,1
cf_a0,0,76,3801,4236,0,1,3801,1
cf_a0,0,76,3801,4236,1,1,4236,0
cf_a1,0,77,3664,4549,0,1,3664,1
cf_a1,0,77,3664,4549,1,1,4549,0
cf_a0,0,77,3664,4549,0,2,4549,0
cf_a0,0,77,3664,4549,1,1,4549,0
cf_a1,0,78,3987,4043,0,1,3987,1
cf_a1,0,78,3987,4043,1,2,3987,1
cf_a0,0,78,3987,4043,0,2,4043,0
cf_a0,0,78,3987,4043,1,1,4043,0
cf_a1,0,79,3593,1072,0,1,3593,1
cf_a1,0,79,3593,1072,1,1,1072,0
cf_a0,0,79,3593,1072,0,1,3593,1
cf_a0,0,79,3593,1072,1,1,1072,0
cf_a1,0,80,4379,1805,0,1,4379,1
cf_a1,0,80,4379,1805,1,2,4379,1
cf_a0,0,80,4379,1805,0,1,4379,1
cf_a0,0,80,4379,1805,1,2,4379,1
cf_a1,0,81,3014,3260,0,1,3014,1
cf_a1,0,81,3014,3260,1,2,3014,1
cf_a0,0,81,3014,3260,0,1,3014,1
cf_a0,0,81,3014,3260,1,2,3014,1
cf_a1,0,82,2825,300,0,1,2825,1
cf_a1,0,82,2825,300,1,2,2825,1
cf_a0,0,82,2825,300,0,2,300,0
cf_a0,0,82,2825,300,1,1,300,0
cf_a1,0,83,3607,3654,0,1,3607,1
cf_a1,0,83,3607,3654,1,1,3654,0
cf_a0,0,83,3607,3654,0,1,3607,1
cf_a0,0,83,3607,3654,1,1,3654,0
cf_a1,0,84,245,2920,0,1,245,1
cf_a1,0,84,245,2920,1,1,2920,0
cf_a0,0,84,245,2920,0,2,2920,0
cf_a0,0,84,245,2920,1,1,2920,0
cf_a1,0,85,3820,4806,0,1,3820,1
cf_a1,0,85,3820,4806,1,2,3820,1
cf_a0,0,85,3820,4806,0,1,3820,1
cf_a0,0,85,3820,4806,1,2,3820,1
cf_a1,0,86,3389,3921,0,2,3921,0
cf_a1,0,86,3389,3921,1,1,3921,0
cf_a0,0,86,3389,3921,0,2,3921,0
cf_a0,0,86,3389,3921,1,1,3921,0
cf_a1,0,87,3131,4567,0,2,4567,0
cf_a1,0,87,3131,4567,1,1,4567,0
cf_a0,0,87,3131,4567,0,2,4567,0
cf_a0,0,87,3131,4567,1,1,4567,0
cf_a1,0,88,1098,2921,0,1,1098,1
cf_a1,0,88,1098,2921,1,2,1098,1
cf_a0,0,88,1098,2921,0,1,1098,1
cf_a0,0,88,1098,2921,1,2,1098,1
cf_a1,0,89,3041,3828,0,1,3041,1
cf_a1,0,89,3041,3828,1,1,3828,0
cf_a0,0,89,3041,3828,0,2,3828,0
cf_a0,0,89,3041,3828,1,1,3828,0
cf_a1,0,90,2179,3053,0,1,2179,1
cf_a1,0,90,2179,3053,1,2,2179,1
cf_a0,0,90,2179,3053,0,1,2179,1
cf_a0,0,90,2179,3053,1,2,2179,1
cf_a1,0,91,3887,512,0,1,3887,1
cf_a1,0,91,3887,512,1,2,3887,1
cf_a0,0,91,3887,512,0,1,3887,1
cf_a0,0,91,3887,512,1,2,3887,1
cf_a1,0,92,3815,4349,0,1,3815,1
cf_a1,0,92,3815,4349,1,2,3815,1
cf_a0,0,92,3815,4349,0,1,3815,1
cf_a0,0,92,3815,4349,1,1,4349,0
cf_a1,0,93,1000,4676,0,1,1000,1
cf_a1,0,93,1000,4676,1,2,1000,1
cf_a0,0,93,1000,4676,0,1,1000,1
cf_a0,0,93,1000,4676,1,2,1000,1
cf_a1,0,94,2031,3148,0,1,2031,1
cf_a1,0,94,2031,3148,1,2,2031,1
cf_a0,0,94,2031,3148,0,1,2031,1
cf_a0,0,94,2031,3148,1,2,2031,1
cf_a1,0,95,1352,222,0,1,1352,1
cf_a1,0,95,1352,222,1,2,1352,1
cf_a0,0,95,1352,222,0,1,1352,1
cf_a0,0,95,1352,222,1,2,1352,1
cf_a1,0,96,3953,2797,0,1,3953,1
cf_a1,0,96,3953,2797,1,1,2797,0
cf_a0,0,96,3953,2797,0,1,3953,1
cf_a0,0,96,3953,2797,1,1,2797,0
cf_a1,0,97,4852,1029,0,1,4852,1
cf_a1,0,97,4852,1029,1,2,4852,1
cf_a0,0,97,4852,1029,0,1,4852,1
cf_a0,0,97,4852,1029,1,1,1029,0
cf_a1,0,98,1438,175,0,1,1438,1
cf_a1,1,0,4929,454,0,1,4929,1
cf_a1,1,0,4929,454,1,1,454,0
cf_a0,1,0,4929,454,0,2,454,0
cf_a0,1,0,4929,454,1,1,454,0
cf_a1,1,1,2554,3265,0,1,2554,1
cf_a1,1,1,2554,3265,1,2,2554,1
cf_a0,1,1,2554,3265,0,1,2554,1
cf_a0,1,1,2554,3265,1,1,3265,0
cf_a1,1,2,2963,4244,0,1,2963,1
cf_a1,1,2,2963,4244,1,2,2963,1
cf_a0,1,2,2963,4244,0,2,4244,0
cf_a0,1,2,2963,4244,1,1,4244,0
cf_a1,1,3,3499,4625,0,1,3499,1
cf_a1,1,3,3499,4625,1,2,3499,1
cf_a0,1,3,3499,4625,0,,,
cf_a0,1,3,3499,4625,1,1,4625,0
cf_a1,1,4,3051,2991,0,1,3051,1
cf_a1,1,4,3051,2991,1,1,2991,0
cf_a0,1,4,3051,2991,0,2,2991,0
cf_a0,1,4,3051,2991,1,1,2991,0
cf_a1,1,5,894,4316,0,1,894,1
cf_a1,1,5,894,4316,1,2,894,1
cf_a0,1,5,894,4316,0,1,894,1
cf_a0,1,5,894,4316,1,1,4316,0
cf_a1,1,6,4734,961,0,1,4734,1
cf_a1,1,6,4734,961,1,2,4734,1
cf_a0,1,6,4734,961,0,1,4734,1
cf_a0,1,6,4734,961,1,2,4734,1
cf_a1,1,7,62,2438,0,1,62,1
cf_a1,1,7,62,2438,1,1,2438,0
cf_a0,1,7,62,2438,0,2,2438,0
cf_a0,1,7,62,2438,1,1,2438,0
cf_a1,1,8,3833,1351,0,1,3833,1
cf_a1,1,8,3833,1351,1,2,3833,1
cf_a0,1,8,3833,1351,0,1,3833,1
cf_a0,1,8,3833,1351,1,2,3833,1
cf_a1,1,9,4238,1539,0,2,1539,0
cf_a1,1,9,4238,1539,1,1,1539,0
cf_a0,1,9,4238,1539,0,2,1539,0
cf_a0,1,9,4238,1539,1,1,1539,0
cf_a1,1,10,312,657,0,1,312,1
cf_a1,1,10,312,657,1,2,312,1
cf_a0,1,10,312,657,0,2,657,0
cf_a0,1,10,312,657,1,2,312,1
cf_a1,1,11,786,2548,0,1,786,1
cf_a1,1,11,786,2548,1,2,786,1
cf_a0,1,11,786,2548,0,1,786,1
cf_a0,1,11,786,2548,1,2,786,1
cf_a1,1,12,4921,1970,0,1,4921,1
cf_a1,1,12,4921,1970,1,1,1970,0
cf_a0,1,12,4921,1970,0,2,1970,0
cf_a0,1,12,4921,1970,1,1,1970,0
cf_a1,1,13,2441,2313,0,2,2313,0
cf_a1,1,13,2441,2313,1,1,2313,0
cf_a0,1,13,2441,2313,0,2,2313,0
cf_a0,1,13,2441,2313,1,1,2313,0
cf_a1,1,14,2411,1014,0,1,2411,1
cf_a1,1,14,2411,1014,1,2,2411,1
cf_a0,1,14,2411,1014,0,2,1014,0
cf_a0,1,14,2411,1014,1,1,1014,0
cf_a1,1,15,2201,4105,0,1,2201,1
cf_a1,1,15,2201,4105,1,1,4105,0
cf_a0,1,15,2201,4105,0,1,2201,1
cf_a0,1,15,2201,4105,1,1,4105,0
cf_a1,1,16,2963,4093,0,1,2963,1
cf_a1,1,16,2963,4093,1,2,2963,1
cf_a0,1,16,2963,4093,0,2,4093,0
cf_a0,1,16,2963,4093,1,2,2963,1
cf_a1,1,17,2813,901,0,1,2813,1
cf_a1,1,17,2813,901,1,1,901,0
cf_a0,1,17,2813,901,0,2,901,0
cf_a0,1,17,2813,901,1,1,901,0
cf_a1,1,18,4952,2177,0,1,4952,1
cf_a1,1,18,4952,2177,1,2,4952,1
cf_a0,1,18,4952,2177,0,1,4952,1
cf_a0,1,18,4952,2177,1,2,4952,1
cf_a1,1,19,2787,665,0,1,2787,1
cf_a1,1,19,2787,665,1,2,2787,1
cf_a0,1,19,2787,665,0,1,2787,1
cf_a0,1,19,2787,665,1,2,2787,1
cf_a1,1,20,447,546,0,1,447,1
cf_a1,1,20,447,546,1,2,447,1
cf_a0,1,20,447,546,0,1,447,1
cf_a0,1,20,447,546,1,2,447,1
cf_a1,1,21,3257,3479,0,1,3257,1
cf_a1,1,21,3257,3479,1,2,3257,1
cf_a0,1,21,3257,3479,0,2,3479,0
cf_a0,1,21,3257,3479,1,1,3479,0
cf_a1,1,22,1563,3293,0,1,1563,1
cf_a1,1,22,1563,3293,1,2,1563,1
cf_a0,1,22,1563,3293,0,1,1563,1
cf_a0,1,22,1563,3293,1,1,3293,0
cf_a1,1,23,3636,1253,0,1,3636,1
cf_a1,1,23,3636,1253,1,2,3636,1
cf_a0,1,23,3636,1253,0,1,3636,1
cf_a0,1,23,3636,1253,1,1,1253,0
cf_a1,1,24,1533,3021,0,1,1533,1
cf_a1,1,24,1533,3021,1,1,3021,0
cf_a0,1,24,1533,3021,0,2,3021,0
cf_a0,1,24,1533,3021,1,1,3021,0
cf_a1,1,25,1016,667,0,2,667,0
cf_a1,1,25,1016,667,1,2,1016,1
cf_a0,1,25,1016,667,0,2,667,0
cf_a0,1,25,1016,667,1,1,667,0
cf_a1,1,26,2900,2655,0,1,2900,1
cf_a1,1,26,2900,2655,1,2,2900,1
cf_a0,1,26,2900,2655,0,1,2900,1
cf_a0,1,26,2900,2655,1,2,2900,1
cf_a1,1,27,4274,3353,0,2,3353,0
cf_a1,1,27,4274,3353,1,1,3353,0
cf_a0,1,27,4274,3353,0,2,3353,0
cf_a0,1,27,4274,3353,1,1,3353,0
cf_a1,1,28,928,1390,0,1,928,1
cf_a1,1,28,928,1390,1,2,928,1
cf_a0,1,28,928,1390,0,1,928,1
cf_a0,1,28,928,1390,1,2,928,1
cf_a1,1,29,1179,1235,0,1,1179,1
cf_a1,1,29,1179,1235,1,2,1179,1
cf_a0,1,29,1179,1235,0,1,1179,1
cf_a0,1,29,1179,1235,1,2,1179,1
cf_a1,1,30,587,16,0,1,587,1
cf_a1,1,30,587,16,1,2,587,1
cf_a0,1,30,587,16,0,2,16,0
cf_a0,1,30,587,16,1,2,587,1
cf_a1,1,31,2557,2233,0,1,2557,1
cf_a1,1,31,2557,2233,1,1,2233,0
cf_a0,1,31,2557,2233,0,1,2557,1
cf_a0,1,31,2557,2233,1,1,2233,0
cf_a1,1,32,2508,1807,0,1,2508,1
cf_a1,1,32,2508,1807,1,2,2508,1
cf_a0,1,32,2508,1807,0,1,2508,1
cf_a0,1,32,2508,1807,1,1,1807,0
cf_a1,1,33,2525,3767,0,1,2525,1
cf_a1,1,33,2525,3767,1,2,2525,1
cf_a0,1,33,2525,3767,0,1,2525,1
cf_a0,1,33,2525,3767,1,2,2525,1
cf_a1,1,34,1297,1350,0,1,1297,1
cf_a1,1,34,1297,1350,1,2,1297,1
cf_a0,1,34,1297,1350,0,1,1297,1
cf_a0,1,34,1297,1350,1,2,1297,1
cf_a1,1,35,1677,1221,0,1,1677,1
cf_a1,1,35,1677,1221,1,2,1677,1
cf_a0,1,35,1677,1221,0,1,1677,1
cf_a0,1,35,1677,1221,1,1,1221,0
cf_a1,1,36,2277,728,0,2,728,0
cf_a1,1,36,2277,728,1,1,728,0
cf_a0,1,36,2277,728,0,2,728,0
cf_a0,1,36,2277,728,1,1,728,0
cf_a1,1,37,377,4251,0,1,377,1
cf_a1,1,37,377,4251,1,2,377,1
cf_a0,1,37,377,4251,0,1,377,1
cf_a0,1,37,377,4251,1,2,377,1
cf_a1,1,38,3283,4769,0,1,3283,1
cf_a1,1,38,3283,4769,1,2,3283,1
cf_a0,1,38,3283,4769,0,1,3283,1
cf_a0,1,38,3283,4769,1,2,3283,1
cf_a1,1,39,3110,4548,0,1,3110,1
cf_a1,1,39,3110,4548,1,2,3110,1
cf_a0,1,39,3110,4548,0,2,4548,0
cf_a0,1,39,3110,4548,1,1,4548,0
cf_a1,1,40,1857,2002,0,2,2002,0
cf_a1,1,40,1857,2002,1,1,2002,0
cf_a0,1,40,1857,2002,0,2,2002,0
cf_a0,1,40,1857,2002,1,1,2002,0
cf_a1,1,41,3727,4460,0,1,3727,1
cf_a1,1,41,3727,4460,1,2,3727,1
cf_a0,1,41,3727,4460,0,1,3727,1
cf_a0,1,41,3727,4460,1,2,3727,1
cf_a1,1,42,1166,1558,0,1,1166,1
cf_a1,1,42,1166,1558,1,2,1166,1
cf_a0,1,42,1166,1558,0,2,1558,0
cf_a0,1,42,1166,1558,1,1,1558,0
cf_a1,1,43,2417,1315,0,1,2417,1
cf_a1,1,43,2417,1315,1,1,1315,0
cf_a0,1,43,2417,1315,0,2,1315,0
cf_a0,1,43,2417,1315,1,1,1315,0
cf_a1,1,44,503,4557,0,1,503,1
cf_a1,1,44,503,4557,1,2,503,1
