arm,sample_id,pair_id,i,j,order,patient,chosen,picked_i
cf_a1,8,1,2554,3265,1,1,3265,0
cf_a1,10,1,2554,3265,1,1,3265,0
cf_a1,11,1,2554,3265,1,1,3265,0
cf_a1,12,1,2554,3265,1,1,3265,0
cf_a1,15,1,2554,3265,1,1,3265,0
cf_a1,13,1,2554,3265,1,2,2554,1
cf_a1,14,1,2554,3265,1,1,3265,0
cf_a1,16,1,2554,3265,1,1,3265,0
cf_a1,17,1,2554,3265,1,1,3265,0
cf_a1,19,1,2554,3265,1,1,3265,0
cf_a1,18,1,2554,3265,1,2,2554,1
cf_a0,0,1,2554,3265,0,2,3265,0
cf_a0,1,1,2554,3265,0,2,3265,0
cf_a0,4,1,2554,3265,0,2,3265,0
cf_a0,2,1,2554,3265,0,1,2554,1
cf_a0,3,1,2554,3265,0,1,2554,1
cf_a0,5,1,2554,3265,0,2,3265,0
cf_a0,8,1,2554,3265,0,2,3265,0
cf_a0,7,1,2554,3265,0,2,3265,0
cf_a0,9,1,2554,3265,0,2,3265,0
cf_a0,6,1,2554,3265,0,1,2554,1
cf_a0,10,1,2554,3265,0,2,3265,0
cf_a0,11,1,2554,3265,0,2,3265,0
cf_a0,12,1,2554,3265,0,1,2554,1
cf_a0,15,1,2554,3265,0,2,3265,0
cf_a0,13,1,2554,3265,0,2,3265,0
cf_a0,14,1,2554,3265,0,2,3265,0
cf_a0,16,1,2554,3265,0,2,3265,0
cf_a0,17,1,2554,3265,0,2,3265,0
cf_a0,18,1,2554,3265,0,2,3265,0
cf_a0,19,1,2554,3265,0,2,3265,0
cf_a0,2,1,2554,3265,1,1,3265,0
cf_a0,0,1,2554,3265,1,1,3265,0
cf_a0,1,1,2554,3265,1,1,3265,0
cf_a0,6,1,2554,3265,1,1,3265,0
cf_a0,4,1,2554,3265,1,1,3265,0
cf_a0,3,1,2554,3265,1,,,
cf_a0,5,1,2554,3265,1,1,3265,0
cf_a0,8,1,2554,3265,1,1,3265,0
cf_a0,9,1,2554,3265,1,1,3265,0
cf_a0,7,1,2554,3265,1,1,3265,0
cf_a0,11,1,2554,3265,1,1,3265,0
cf_a0,10,1,2554,3265,1,1,3265,0
cf_a0,12,1,2554,3265,1,1,3265,0
cf_a0,13,1,2554,3265,1,1,3265,0
cf_a0,14,1,2554,3265,1,1,3265,0
cf_a0,16,1,2554,3265,1,1,3265,0
cf_a0,15,1,2554,3265,1,1,3265,0
cf_a0,17,1,2554,3265,1,1,3265,0
cf_a0,18,1,2554,3265,1,1,3265,0
cf_a1,0,2,2963,4244,0,1,2963,1
cf_a1,2,2,2963,4244,0,1,2963,1
cf_a1,3,2,2963,4244,0,1,2963,1
cf_a0,19,1,2554,3265,1,1,3265,0
cf_a1,1,2,2963,4244,0,1,2963,1
cf_a1,4,2,2963,4244,0,1,2963,1
cf_a1,7,2,2963,4244,0,1,2963,1
cf_a1,6,2,2963,4244,0,1,2963,1
cf_a1,5,2,2963,4244,0,1,2963,1
cf_a1,10,2,2963,4244,0,1,2963,1
cf_a1,9,2,2963,4244,0,1,2963,1
cf_a1,8,2,2963,4244,0,1,2963,1
cf_a1,12,2,2963,4244,0,1,2963,1
cf_a1,11,2,2963,4244,0,1,2963,1
cf_a1,13,2,2963,4244,0,1,2963,1
cf_a1,15,2,2963,4244,0,1,2963,1
cf_a1,16,2,2963,4244,0,1,2963,1
cf_a1,17,2,2963,4244,0,1,2963,1
cf_a1,14,2,2963,4244,0,1,2963,1
cf_a1,0,2,2963,4244,1,2,2963,1
cf_a1,19,2,2963,4244,0,1,2963,1
cf_a1,18,2,2963,4244,0,1,2963,1
cf_a1,1,2,2963,4244,1,2,2963,1
cf_a1,4,2,2963,4244,1,2,2963,1
cf_a1,3,2,2963,4244,1,1,4244,0
cf_a1,2,2,2963,4244,1,2,2963,1
cf_a1,5,2,2963,4244,1,2,2963,1
cf_a1,7,2,2963,4244,1,2,2963,1
cf_a1,8,2,2963,4244,1,1,4244,0
cf_a1,9,2,2963,4244,1,2,2963,1
cf_a1,6,2,2963,4244,1,2,2963,1
cf_a1,11,2,2963,4244,1,2,2963,1
cf_a1,10,2,2963,4244,1,2,2963,1
cf_a1,12,2,2963,4244,1,1,4244,0
cf_a1,13,2,2963,4244,1,2,2963,1
cf_a1,17,2,2963,4244,1,1,4244,0
cf_a1,15,2,2963,4244,1,2,2963,1
cf_a1,16,2,2963,4244,1,1,4244,0
cf_a1,14,2,2963,4244,1,2,2963,1
cf_a1,19,2,2963,4244,1,2,2963,1
cf_a1,18,2,2963,4244,1,1,4244,0
cf_a0,0,2,2963,4244,0,2,4244,0
cf_a0,1,2,2963,4244,0,1,2963,1
cf_a0,2,2,2963,4244,0,1,2963,1
cf_a0,3,2,2963,4244,0,1,2963,1
cf_a0,4,2,2963,4244,0,2,4244,0
cf_a0,6,2,2963,4244,0,1,2963,1
cf_a0,9,2,2963,4244,0,1,2963,1
cf_a0,5,2,2963,4244,0,1,2963,1
cf_a0,8,2,2963,4244,0,1,2963,1
cf_a0,7,2,2963,4244,0,1,2963,1
cf_a0,10,2,2963,4244,0,1,2963,1
cf_a0,11,2,2963,4244,0,2,4244,0
cf_a0,12,2,2963,4244,0,2,4244,0
cf_a0,13,2,2963,4244,0,1,2963,1
cf_a0,14,2,2963,4244,0,1,2963,1
cf_a0,16,2,2963,4244,0,1,2963,1
cf_a0,15,2,2963,4244,0,2,4244,0
cf_a0,17,2,2963,4244,0,1,2963,1
cf_a0,19,2,2963,4244,0,1,2963,1
cf_a0,0,2,2963,4244,1,2,2963,1
cf_a0,18,2,2963,4244,0,2,4244,0
cf_a0,3,2,2963,4244,1,1,4244,0
cf_a0,4,2,2963,4244,1,1,4244,0
cf_a0,1,2,2963,4244,1,1,4244,0
cf_a0,5,2,2963,4244,1,2,2963,1
cf_a0,7,2,2963,4244,1,1,4244,0
cf_a0,2,2,2963,4244,1,1,4244,0
cf_a0,11,2,2963,4244,1,1,4244,0
cf_a0,8,2,2963,4244,1,2,2963,1
cf_a0,6,2,2963,4244,1,2,2963,1
cf_a0,10,2,2963,4244,1,1,4244,0
cf_a0,12,2,2963,4244,1,1,4244,0
cf_a0,9,2,2963,4244,1,1,4244,0
cf_a0,13,2,2963,4244,1,1,4244,0
cf_a0,14,2,2963,4244,1,2,2963,1
cf_a0,15,2,2963,4244,1,2,2963,1
cf_a0,18,2,2963,4244,1,1,4244,0
cf_a0,17,2,2963,4244,1,1,4244,0
cf_a1,0,3,3499,4625,0,1,3499,1
cf_a0,16,2,2963,4244,1,2,2963,1
cf_a1,2,3,3499,4625,0,1,3499,1
cf_a0,19,2,2963,4244,1,2,2963,1
cf_a1,3,3,3499,4625,0,1,3499,1
cf_a1,4,3,3499,4625,0,1,3499,1
cf_a1,1,3,3499,4625,0,1,3499,1
cf_a1,5,3,3499,4625,0,1,3499,1
cf_a1,7,3,3499,4625,0,1,3499,1
cf_a1,8,3,3499,4625,0,1,3499,1
cf_a1,6,3,3499,4625,0,1,3499,1
cf_a1,9,3,3499,4625,0,1,3499,1
cf_a1,12,3,3499,4625,0,1,3499,1
cf_a1,10,3,3499,4625,0,2,4625,0
cf_a1,11,3,3499,4625,0,1,3499,1
cf_a1,13,3,3499,4625,0,1,3499,1
cf_a1,14,3,3499,4625,0,1,3499,1
cf_a1,15,3,3499,4625,0,2,4625,0
cf_a1,17,3,3499,4625,0,1,3499,1
cf_a1,16,3,3499,4625,0,1,3499,1
cf_a1,0,3,3499,4625,1,1,4625,0
cf_a1,18,3,3499,4625,0,1,3499,1
cf_a1,1,3,3499,4625,1,2,3499,1
cf_a1,5,3,3499,4625,1,1,4625,0
cf_a1,2,3,3499,4625,1,1,4625,0
cf_a1,19,3,3499,4625,0,1,3499,1
cf_a1,3,3,3499,4625,1,1,4625,0
cf_a1,4,3,3499,4625,1,1,4625,0
cf_a1,6,3,3499,4625,1,1,4625,0
cf_a1,8,3,3499,4625,1,1,4625,0
cf_a1,7,3,3499,4625,1,1,4625,0
cf_a1,10,3,3499,4625,1,1,4625,0
cf_a1,9,3,3499,4625,1,2,3499,1
cf_a1,11,3,3499,4625,1,1,4625,0
cf_a1,12,3,3499,4625,1,2,3499,1
cf_a1,16,3,3499,4625,1,1,4625,0
cf_a1,15,3,3499,4625,1,2,3499,1
cf_a1,13,3,3499,4625,1,1,4625,0
cf_a1,17,3,3499,4625,1,2,3499,1
cf_a1,14,3,3499,4625,1,2,3499,1
cf_a1,18,3,3499,4625,1,2,3499,1
cf_a1,19,3,3499,4625,1,2,3499,1
cf_a0,0,3,3499,4625,0,1,3499,1
cf_a0,1,3,3499,4625,0,2,4625,0
cf_a0,2,3,3499,4625,0,1,3499,1
cf_a0,3,3,3499,4625,0,2,4625,0
cf_a0,4,3,3499,4625,0,1,3499,1
cf_a0,5,3,3499,4625,0,1,3499,1
cf_a0,6,3,3499,4625,0,1,3499,1
cf_a0,7,3,3499,4625,0,1,3499,1
cf_a0,8,3,3499,4625,0,1,3499,1
cf_a0,10,3,3499,4625,0,1,3499,1
cf_a0,9,3,3499,4625,0,1,3499,1
cf_a0,12,3,3499,4625,0,1,3499,1
cf_a0,11,3,3499,4625,0,1,3499,1
cf_a0,14,3,3499,4625,0,1,3499,1
cf_a0,15,3,3499,4625,0,1,3499,1
cf_a0,13,3,3499,4625,0,2,4625,0
cf_a0,16,3,3499,4625,0,1,3499,1
cf_a0,17,3,3499,4625,0,2,4625,0
cf_a0,18,3,3499,4625,0,1,3499,1
cf_a0,19,3,3499,4625,0,1,3499,1
cf_a0,0,3,3499,4625,1,2,3499,1
cf_a0,1,3,3499,4625,1,2,3499,1
cf_a0,2,3,3499,4625,1,1,4625,0
cf_a0,3,3,3499,4625,1,1,4625,0
cf_a0,5,3,3499,4625,1,1,4625,0
cf_a0,4,3,3499,4625,1,1,4625,0
cf_a0,6,3,3499,4625,1,2,3499,1
cf_a0,7,3,3499,4625,1,1,4625,0
cf_a0,9,3,3499,4625,1,1,4625,0
cf_a0,8,3,3499,4625,1,1,4625,0
cf_a0,10,3,3499,4625,1,2,3499,1
cf_a0,11,3,3499,4625,1,1,4625,0
cf_a0,12,3,3499,4625,1,1,4625,0
cf_a0,13,3,3499,4625,1,2,3499,1
cf_a0,14,3,3499,4625,1,2,3499,1
cf_a0,17,3,3499,4625,1,1,4625,0
cf_a0,16,3,3499,4625,1,2,3499,1
cf_a0,15,3,3499,4625,1,1,4625,0
cf_a0,19,3,3499,4625,1,2,3499,1
cf_a0,18,3,3499,4625,1,1,4625,0
cf_a1,0,4,3051,2991,0,1,3051,1
cf_a1,2,4,3051,2991,0,1,3051,1
cf_a1,1,4,3051,2991,0,1,3051,1
cf_a1,7,4,3051,2991,0,1,3051,1
cf_a1,3,4,3051,2991,0,1,3051,1
cf_a1,4,4,3051,2991,0,1,3051,1
cf_a1,5,4,3051,2991,0,1,3051,1
cf_a1,6,4,3051,2991,0,1,3051,1
cf_a1,8,4,3051,2991,0,1,3051,1
cf_a1,9,4,3051,2991,0,1,3051,1
cf_a1,10,4,3051,2991,0,1,3051,1
cf_a1,13,4,3051,2991,0,1,3051,1
cf_a1,11,4,3051,2991,0,1,3051,1
cf_a1,15,4,3051,2991,0,1,3051,1
cf_a1,12,4,3051,2991,0,1,3051,1
cf_a1,14,4,3051,2991,0,1,3051,1
cf_a1,16,4,3051,2991,0,2,2991,0
cf_a1,17,4,3051,2991,0,1,3051,1
cf_a1,18,4,3051,2991,0,2,2991,0
cf_a1,19,4,3051,2991,0,1,3051,1
cf_a1,2,4,3051,2991,1,2,3051,1
cf_a1,1,4,3051,2991,1,1,2991,0
cf_a1,3,4,3051,2991,1,2,3051,1
cf_a1,0,4,3051,2991,1,1,2991,0
cf_a1,4,4,3051,2991,1,2,3051,1
cf_a1,5,4,3051,2991,1,1,2991,0
cf_a1,6,4,3051,2991,1,2,3051,1
cf_a1,10,4,3051,2991,1,2,3051,1
cf_a1,9,4,3051,2991,1,1,2991,0
cf_a1,11,4,3051,2991,1,1,2991,0
cf_a1,7,4,3051,2991,1,1,2991,0
cf_a1,8,4,3051,2991,1,2,3051,1
cf_a1,12,4,3051,2991,1,1,2991,0
cf_a1,16,4,3051,2991,1,1,2991,0
cf_a1,14,4,3051,2991,1,1,2991,0
cf_a1,17,4,3051,2991,1,1,2991,0
cf_a1,13,4,3051,2991,1,1,2991,0
cf_a1,18,4,3051,2991,1,1,2991,0
cf_a1,15,4,3051,2991,1,1,2991,0
cf_a1,19,4,3051,2991,1,2,3051,1
cf_a0,1,4,3051,2991,0,2,2991,0
cf_a0,0,4,3051,2991,0,1,3051,1
cf_a0,4,4,3051,2991,0,1,3051,1
cf_a0,2,4,3051,2991,0,2,2991,0
cf_a0,3,4,3051,2991,0,1,3051,1
cf_a0,5,4,3051,2991,0,1,3051,1
cf_a0,6,4,3051,2991,0,1,3051,1
cf_a0,11,4,3051,2991,0,1,3051,1
cf_a0,7,4,3051,2991,0,2,2991,0
cf_a0,8,4,3051,2991,0,1,3051,1
cf_a0,12,4,3051,2991,0,1,3051,1
cf_a0,9,4,3051,2991,0,2,2991,0
cf_a0,10,4,3051,2991,0,1,3051,1
cf_a0,13,4,3051,2991,0,1,3051,1
cf_a0,14,4,3051,2991,0,2,2991,0
cf_a0,15,4,3051,2991,0,1,3051,1
cf_a0,16,4,3051,2991,0,2,2991,0
cf_a0,18,4,3051,2991,0,2,2991,0
cf_a0,17,4,3051,2991,0,1,3051,1
cf_a0,0,4,3051,2991,1,2,3051,1
cf_a0,1,4,3051,2991,1,1,2991,0
cf_a0,19,4,3051,2991,0,1,3051,1
cf_a0,2,4,3051,2991,1,1,2991,0
cf_a0,4,4,3051,2991,1,2,3051,1
cf_a0,3,4,3051,2991,1,2,3051,1
cf_a0,7,4,3051,2991,1,1,2991,0
cf_a0,5,4,3051,2991,1,1,2991,0
cf_a0,6,4,3051,2991,1,2,3051,1
cf_a0,9,4,3051,2991,1,1,2991,0
cf_a0,8,4,3051,2991,1,1,2991,0
cf_a0,10,4,3051,2991,1,1,2991,0
cf_a0,11,4,3051,2991,1,1,2991,0
cf_a0,13,4,3051,2991,1,2,3051,1
cf_a0,12,4,3051,2991,1,1,2991,0
cf_a0,15,4,3051,2991,1,1,2991,0
cf_a0,16,4,3051,2991,1,1,2991,0
cf_a0,14,4,3051,2991,1,1,2991,0
cf_a0,19,4,3051,2991,1,1,2991,0
cf_a1,0,5,894,4316,0,1,894,1
cf_a1,2,5,894,4316,0,1,894,1
cf_a1,1,5,894,4316,0,1,894,1
cf_a0,18,4,3051,2991,1,2,3051,1
cf_a0,17,4,3051,2991,1,1,2991,0
cf_a1,4,5,894,4316,0,2,4316,0
cf_a1,3,5,894,4316,0,2,4316,0
cf_a1,5,5,894,4316,0,1,894,1
cf_a1,9,5,894,4316,0,1,894,1
cf_a1,6,5,894,4316,0,1,894,1
cf_a1,10,5,894,4316,0,1,894,1
cf_a1,7,5,894,4316,0,1,894,1
cf_a1,8,5,894,4316,0,1,894,1
cf_a1,11,5,894,4316,0,1,894,1
cf_a1,12,5,894,4316,0,1,894,1
cf_a1,13,5,894,4316,0,1,894,1
cf_a1,15,5,894,4316,0,1,894,1
cf_a1,16,5,894,4316,0,1,894,1
cf_a1,18,5,894,4316,0,2,4316,0
cf_a1,14,5,894,4316,0,1,894,1
cf_a1,17,5,894,4316,0,1,894,1
cf_a1,19,5,894,4316,0,1,894,1
cf_a1,0,5,894,4316,1,1,4316,0
cf_a1,3,5,894,4316,1,2,894,1
cf_a1,1,5,894,4316,1,2,894,1
cf_a1,4,5,894,4316,1,1,4316,0
cf_a1,2,5,894,4316,1,2,894,1
cf_a1,7,5,894,4316,1,1,4316,0
cf_a1,5,5,894,4316,1,1,4316,0
cf_a1,8,5,894,4316,1,2,894,1
cf_a1,10,5,894,4316,1,1,4316,0
cf_a1,12,5,894,4316,1,2,894,1
cf_a1,11,5,894,4316,1,2,894,1
cf_a1,9,5,894,4316,1,2,894,1
cf_a1,6,5,894,4316,1,2,894,1
cf_a1,14,5,894,4316,1,2,894,1
cf_a1,13,5,894,4316,1,2,894,1
cf_a1,16,5,894,4316,1,,,
cf_a1,15,5,894,4316,1,2,894,1
cf_a1,18,5,894,4316,1,2,894,1
cf_a1,17,5,894,4316,1,2,894,1
cf_a1,19,5,894,4316,1,1,4316,0
cf_a0,0,5,894,4316,0,1,894,1
cf_a0,2,5,894,4316,0,1,894,1
cf_a0,1,5,894,4316,0,1,894,1
cf_a0,5,5,894,4316,0,1,894,1
cf_a0,3,5,894,4316,0,1,894,1
cf_a0,6,5,894,4316,0,2,4316,0
cf_a0,4,5,894,4316,0,2,4316,0
cf_a0,7,5,894,4316,0,1,894,1
cf_a0,8,5,894,4316,0,1,894,1
cf_a0,11,5,894,4316,0,1,894,1
cf_a0,10,5,894,4316,0,1,894,1
cf_a0,13,5,894,4316,0,1,894,1
cf_a0,9,5,894,4316,0,1,894,1
cf_a0,12,5,894,4316,0,2,4316,0
cf_a0,15,5,894,4316,0,1,894,1
cf_a0,14,5,894,4316,0,1,894,1
cf_a0,16,5,894,4316,0,1,894,1
cf_a0,2,5,894,4316,1,2,894,1
cf_a0,17,5,894,4316,0,1,894,1
cf_a0,18,5,894,4316,0,1,894,1
cf_a0,19,5,894,4316,0,1,894,1
cf_a0,0,5,894,4316,1,2,894,1
cf_a0,1,5,894,4316,1,2,894,1
cf_a0,3,5,894,4316,1,1,4316,0
cf_a0,4,5,894,4316,1,2,894,1
cf_a0,5,5,894,4316,1,2,894,1
cf_a0,7,5,894,4316,1,2,894,1
cf_a0,8,5,894,4316,1,1,4316,0
cf_a0,6,5,894,4316,1,1,4316,0
cf_a0,11,5,894,4316,1,1,4316,0
cf_a0,9,5,894,4316,1,2,894,1
cf_a0,10,5,894,4316,1,1,4316,0
cf_a0,12,5,894,4316,1,1,4316,0
cf_a0,13,5,894,4316,1,2,894,1
cf_a0,15,5,894,4316,1,2,894,1
cf_a0,16,5,894,4316,1,2,894,1
cf_a0,14,5,894,4316,1,1,4316,0
cf_a0,18,5,894,4316,1,2,894,1
cf_a0,17,5,894,4316,1,2,894,1
cf_a0,19,5,894,4316,1,2,894,1
cf_a1,0,6,4734,961,0,1,4734,1
cf_a1,4,6,4734,961,0,1,4734,1
cf_a1,1,6,4734,961,0,1,4734,1
cf_a1,2,6,4734,961,0,1,4734,1
cf_a1,3,6,4734,961,0,1,4734,1
cf_a1,8,6,4734,961,0,1,4734,1
cf_a1,5,6,4734,961,0,1,4734,1
cf_a1,6,6,4734,961,0,1,4734,1
cf_a1,7,6,4734,961,0,1,4734,1
cf_a1,10,6,4734,961,0,1,4734,1
cf_a1,9,6,4734,961,0,1,4734,1
cf_a1,12,6,4734,961,0,1,4734,1
cf_a1,13,6,4734,961,0,1,4734,1
cf_a1,11,6,4734,961,0,1,4734,1
cf_a1,14,6,4734,961,0,1,4734,1
cf_a1,16,6,4734,961,0,1,4734,1
cf_a1,15,6,4734,961,0,1,4734,1
cf_a1,18,6,4734,961,0,1,4734,1
cf_a1,1,6,4734,961,1,2,4734,1
cf_a1,17,6,4734,961,0,1,4734,1
cf_a1,19,6,4734,961,0,1,4734,1
cf_a1,2,6,4734,961,1,2,4734,1
cf_a1,0,6,4734,961,1,1,961,0
cf_a1,4,6,4734,961,1,2,4734,1
cf_a1,3,6,4734,961,1,2,4734,1
cf_a1,5,6,4734,961,1,2,4734,1
cf_a1,7,6,4734,961,1,1,961,0
cf_a1,6,6,4734,961,1,2,4734,1
cf_a1,10,6,4734,961,1,2,4734,1
cf_a1,9,6,4734,961,1,2,4734,1
cf_a1,8,6,4734,961,1,2,4734,1
cf_a1,11,6,4734,961,1,1,961,0
cf_a1,13,6,4734,961,1,1,961,0
cf_a1,12,6,4734,961,1,2,4734,1
cf_a1,17,6,4734,961,1,2,4734,1
cf_a1,14,6,4734,961,1,2,4734,1
cf_a1,15,6,4734,961,1,2,4734,1
cf_a1,18,6,4734,961,1,2,4734,1
cf_a1,16,6,4734,961,1,2,4734,1
cf_a1,19,6,4734,961,1,2,4734,1
cf_a0,0,6,4734,961,0,1,4734,1
cf_a0,1,6,4734,961,0,1,4734,1
cf_a0,5,6,4734,961,0,1,4734,1
cf_a0,2,6,4734,961,0,1,4734,1
cf_a0,3,6,4734,961,0,1,4734,1
cf_a0,4,6,4734,961,0,1,4734,1
cf_a0,6,6,4734,961,0,1,4734,1
cf_a0,10,6,4734,961,0,1,4734,1
cf_a0,8,6,4734,961,0,1,4734,1
cf_a0,9,6,4734,961,0,1,4734,1
cf_a0,7,6,4734,961,0,1,4734,1
cf_a0,11,6,4734,961,0,2,961,0
cf_a0,12,6,4734,961,0,1,4734,1
cf_a0,13,6,4734,961,0,1,4734,1
cf_a0,14,6,4734,961,0,1,4734,1
cf_a0,17,6,4734,961,0,1,4734,1
cf_a0,15,6,4734,961,0,1,4734,1
cf_a0,16,6,4734,961,0,1,4734,1
cf_a0,18,6,4734,961,0,1,4734,1
cf_a0,0,6,4734,961,1,2,4734,1
cf_a0,2,6,4734,961,1,2,4734,1
cf_a0,3,6,4734,961,1,1,961,0
cf_a0,1,6,4734,961,1,2,4734,1
cf_a0,19,6,4734,961,0,1,4734,1
cf_a0,5,6,4734,961,1,2,4734,1
cf_a0,4,6,4734,961,1,2,4734,1
cf_a0,6,6,4734,961,1,1,961,0
cf_a0,7,6,4734,961,1,2,4734,1
cf_a0,10,6,4734,961,1,2,4734,1
cf_a0,8,6,4734,961,1,2,4734,1
cf_a0,9,6,4734,961,1,2,4734,1
cf_a0,12,6,4734,961,1,1,961,0
cf_a0,11,6,4734,961,1,2,4734,1
cf_a0,13,6,4734,961,1,2,4734,1
cf_a0,14,6,4734,961,1,2,4734,1
cf_a0,16,6,4734,961,1,1,961,0
cf_a0,18,6,4734,961,1,2,4734,1
cf_a0,17,6,4734,961,1,2,4734,1
cf_a0,15,6,4734,961,1,2,4734,1
cf_a0,19,6,4734,961,1,2,4734,1
cf_a1,0,7,62,2438,0,1,62,1
cf_a1,2,7,62,2438,0,1,62,1
cf_a1,1,7,62,2438,0,1,62,1
cf_a1,6,7,62,2438,0,1,62,1
cf_a1,5,7,62,2438,0,1,62,1
cf_a1,3,7,62,2438,0,1,62,1
cf_a1,7,7,62,2438,0,1,62,1
cf_a1,4,7,62,2438,0,1,62,1
cf_a1,9,7,62,2438,0,1,62,1
cf_a1,10,7,62,2438,0,1,62,1
cf_a1,11,7,62,2438,0,1,62,1
cf_a1,8,7,62,2438,0,1,62,1
